threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy
0.326,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.327,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.328,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.329,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.33,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.331,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.332,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.333,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.334,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.335,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.336,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.337,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.338,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.339,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.34,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.341,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.342,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.343,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.344,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.345,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.346,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.347,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.348,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.349,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.35,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.351,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.352,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.353,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.354,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.355,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.356,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.357,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.358,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.359,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.36,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.361,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.362,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.363,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
0.364,311,79,35,17,180,0.692982456140351,0.913705583756345,0.803344019948348
