"source_file","scenario","segment","snapshot_id","begin_source_line","end_source_line","begin_frame","end_frame","threshold","roi_width","roi_height","roi_y_first","roi_y_last","row_count","expected_row_count","dark_left_count","dark_center_count","dark_right_count","d128_left_percent_exact","d128_center_percent_exact","d128_right_percent_exact","d128_left_percent_firmware","d128_center_percent_firmware","d128_right_percent_firmware","complete","status","content_sha256"
"左转极限.txt","左转极限","1","左转极限:s1:b32","834",,"1315",,"128","200","24","88","111","10","24","588","621","624","87.76119402985074","92.68656716417911","94.54545454545455","87","92","94","False","interrupted_by_connection_loss","AEDD5C1414A14158B237A355C89ABF2A6DC801EBF0B7FFD4C168355BFB7FF116"
"safe.txt","safe","1","safe:s1:b1","2","28","903","903","128","200","24","88","111","24","24","1478","1217","1502","91.91542288557214","75.68407960199005","94.82323232323232","91","75","94","True","complete","01E5D974BA54E744810064FD4BC41E3384AABE15CF87A2AA4025B17FD84D01E2"
"safe.txt","safe","1","safe:s1:b2","29","56","937","937","128","200","24","88","111","24","24","1480","1218","1501","92.03980099502488","75.74626865671642","94.76010101010101","92","75","94","True","complete","AA061D0F55894CE25E41CB5B6A7974FB1960887947F235C1137A2EC38087CCC4"
"safe.txt","safe","1","safe:s1:b3","57","83","971","971","128","200","24","88","111","24","24","1478","1218","1499","91.91542288557214","75.74626865671642","94.63383838383838","91","75","94","True","complete","3CBB69507B4785C31A389FC046C8FB2262F1EF2A7D78C6047A223B146F3963C1"
"safe.txt","safe","1","safe:s1:b4","84","110","1006","1006","128","200","24","88","111","24","24","1479","1217","1500","91.9776119402985","75.68407960199005","94.6969696969697","91","75","94","True","complete","31302DD86F58EB5C0AAFBAAA93700E18CCDA93A7B6652EA02CC0F76323601E4D"
"safe.txt","safe","1","safe:s1:b5","111","137","1041","1041","128","200","24","88","111","24","24","1480","1219","1502","92.03980099502488","75.80845771144278","94.82323232323232","92","75","94","True","complete","9BE1479EA6552D68C8D6230DCCCDDD38502307A07F1E1C35C02FB73F44B08297"
"safe.txt","safe","1","safe:s1:b6","139","165","1076","1076","128","200","24","88","111","24","24","1480","1215","1502","92.03980099502488","75.55970149253731","94.82323232323232","92","75","94","True","complete","3A2C75AE31262DCCEF31A85E44AEC7EEEAC94F7CD93E9D09863C9606CB22DC90"
"safe.txt","safe","1","safe:s1:b7","166","192","1111","1111","128","200","24","88","111","24","24","1480","1217","1502","92.03980099502488","75.68407960199005","94.82323232323232","92","75","94","True","complete","07ABD7D92F44A93D68C9A1AA97C8659D82B00362234FA4EB8E4A4D0C5E38CE72"
"safe.txt","safe","1","safe:s1:b8","193","219","1145","1145","128","200","24","88","111","24","24","1479","1217","1504","91.9776119402985","75.68407960199005","94.94949494949495","91","75","94","True","complete","83F4F783FF75B5B40C269180AEDF3740413886B64718C2FC7BCB8135976F502A"
"safe.txt","safe","1","safe:s1:b9","220","246","1179","1179","128","200","24","88","111","24","24","1482","1220","1504","92.16417910447761","75.87064676616916","94.94949494949495","92","75","94","True","complete","B289217D88B55C1A1E6A6E920B4F23A1DCE458D18CAC0A530046EAC159C8F436"
"safe.txt","safe","1","safe:s1:b10","247","273","1214","1214","128","200","24","88","111","24","24","1481","1217","1504","92.10199004975124","75.68407960199005","94.94949494949495","92","75","94","True","complete","9C7E64C4A5B83AFD13E20541D8F108D8BB922344FD7F1EBF8F52696065764CEB"
"safe.txt","safe","1","safe:s1:b11","275","301","1248","1248","128","200","24","88","111","24","24","1481","1220","1504","92.10199004975124","75.87064676616916","94.94949494949495","92","75","94","True","complete","8DFF868C012B02F45FC6CE18CA5664EC7D6C7954C96E23FF10B7CFB9742B066B"
"safe.txt","safe","1","safe:s1:b12","302","328","1283","1283","128","200","24","88","111","24","24","1482","1221","1505","92.16417910447761","75.93283582089552","95.01262626262626","92","75","95","True","complete","022128C02132B85A8D3147993E17CFA91D5C571AFFB87FD2E0F71AEFA40547D2"
"safe.txt","safe","1","safe:s1:b13","329","355","1318","1318","128","200","24","88","111","24","24","1480","1218","1504","92.03980099502488","75.74626865671642","94.94949494949495","92","75","94","True","complete","B5A9853DF3B40EEE42DC9060C0665466758C2C90579D975F821EECB84B4C6DD5"
"safe.txt","safe","1","safe:s1:b14","356","382","1352","1352","128","200","24","88","111","24","24","1482","1217","1500","92.16417910447761","75.68407960199005","94.6969696969697","92","75","94","True","complete","F7A328D83ED433CC88ADC96FC92453E0C025AFFD546E49E23794F861B8F86807"
"safe.txt","safe","1","safe:s1:b15","383","409","1387","1387","128","200","24","88","111","24","24","1487","1231","1506","92.47512437810946","76.55472636815921","95.07575757575758","92","76","95","True","complete","32FC3A244F322621131E172C8FD29123CE1140299BD6BEFB37401A33A85331CE"
"safe.txt","safe","1","safe:s1:b16","411","439","1421","1421","128","200","24","88","111","24","24","1547","1295","1524","96.20646766169155","80.53482587064677","96.21212121212122","96","80","96","True","complete","822A4FA79FCA03E9A436BE3E90AF52EFE600A86537315829D9D2B620E7DD73E3"
"safe.txt","safe","1","safe:s1:b17","440","466","1457","1457","128","200","24","88","111","24","24","1556","1325","1522","96.76616915422886","82.40049751243781","96.08585858585859","96","82","96","True","complete","E5955E2EF3FD174BA66C7613055FBDA28B2382CE90DFC56A81A2BBC85F2B1C4B"
"safe.txt","safe","1","safe:s1:b18","467","494","1491","1491","128","200","24","88","111","24","24","1543","1327","1525","95.95771144278606","82.52487562189054","96.27525252525253","95","82","96","True","complete","FE6771C96F38C6BAC7F816917B6ECB4A595E308A636DFA81DBBCF4C8A58D6BE8"
"safe.txt","safe","1","safe:s1:b19","495","522","1525","1525","128","200","24","88","111","24","24","1560","1332","1526","97.01492537313433","82.83582089552239","96.33838383838383","97","82","96","True","complete","03C0764DEFAE5D16E3CB21FD228550E23D81CD0A3B55C18B0FF0F6C5D176335A"
